,Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longitude
77,112 Katong,"112 East Coast Road, S(428802)","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min, (10am-5.59pm) \$1.07 for 1st hr, \$0.27 for subsequent 15min","(6pm-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min, (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min (10am-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min (10am-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min",1.3051592,103.9050673
78,Katong Plaza,"1 Brooke Road, S(429979)","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 6am to 6pm","\$1.00 for 1st hr, \$0.50 for next subsequent 30min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,1.3042056999999998,103.9038636
79,Katong Shopping Centre,"865 Mountbatten Road, S(437844)",\$1.45/hr from 7.01am to 6pm,\$2.50/entry from 6.01pm to 7am the following day,Charges same as weekdays,\$2.50/entry from 7.01am to 7am the following day,1.3039094999999998,103.90117509999999
80,Enterprise One,"1 Kaki Bukit Road 1, S(415934)","30min free, \$0.70 for next subsequent 30min","30min free, \$0.70 for next subsequent 30min",Charges same as weekdays,Charges same as weekdays,1.3335939,103.90250879999999
81,Keppel Towers,"10 Hoe Chiang Road, S(089315)",\$3.00/hr from 8am to 5pm,\$3.00/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,1.2743052,103.8420655
82,Keypoint,"371 Beach Road, S(199597)",Carpark closed,Carpark closed,Carpark closed,Carpark closed,1.302363,103.8624183
83,Kwong Wai Shui Hospital,"705 Serangoon Road, S(328127)",Free Parking,Free Parking,Free Parking,Free Parking,1.317285,103.85932690000001
84,Concorde Hotel Singapore,"100 Orchard Road, S(238840)","\$2.14 for 1st hr, \$1.39 for next subsequent 30min from 7am to 6pm",\$3.75/entry from 6pm to 7am the following day,Charges same as weekdays,\$3.75/entry from 7am to 7am the following day,1.300784,103.84234090000001
85,Liang Court,"177 River Valley Road, S(179030)",\$1.28/hr from 7am to 6pm,\$3.21/entry 6.01pm to 6.59am the following day,\$3.21/entry from 6am to 6am the following day,\$3.21/entry from 6am to 6am the following day,1.2915874,103.8447075
86,Liat Towers,"541 Orchard Road, S(238881)","\$2.50 for 1st hr, \$1.30 for next subsequent 30min from 7am to 6pm",\$3.80/entry from 6pm to 12midnight,Charges same as weekdays,Charges same as weekdays,1.3051127,103.8306737
87,Health Promotion Board,"3 Second Hospital Avenue, S(168937)",\$0.036/min from 7am to 10pm,\$2.14/entry from 10pm to 7am the following day,Charges same as weekdays,"\$0.018/min from 7am to 10pm, \$2.14/entry from 10pm to 7am the following day",1.279555,103.838369
88,Lippo Centre,"78 Shenton Way, S(079120)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only,1.2731276000000002,103.84509840000001
89,Lot One,"21 Choa Chu Kang Avenue 4, S(689812)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm",\$2.57/entry from 6pm to 2.59am the following day,"\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm",1.384848,103.745046
